datetime,speed,wind_dir,temp,radiation,precip,ctime,mtime
2020-09-16 00:03:00,3.1,78.2,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:04:00,2.3,49.1,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:05:00,2.5,48.0,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:06:00,2.9,25.8,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:07:00,2.8,62.2,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:08:00,2.6,45.4,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:09:00,2.6,42.9,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:10:00,2.2,28.8,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:11:00,2.2,29.7,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:12:00,2.3,23.2,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:13:00,1.9,67.3,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:14:00,2.1,45.4,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:15:00,2.0,49.7,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:16:00,2.4,39.0,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:17:00,2.3,31.5,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:18:00,2.8,7.0,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:19:00,1.7,20.4,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:20:00,1.8,32.3,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:21:00,2.1,25.6,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:22:00,1.1,341.8,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:23:00,1.7,12.6,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:24:00,2.0,342.9,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:25:00,2.0,13.4,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:26:00,1.2,350.2,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:27:00,1.6,338.4,24.9,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:28:00,1.9,343.2,24.8,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:29:00,1.7,351.7,24.8,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:30:00,1.7,343.8,24.8,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:31:00,2.3,340.9,24.8,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:32:00,1.9,1.3,24.8,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:33:00,2.2,16.8,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:34:00,2.3,34.4,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:35:00,1.7,26.4,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:36:00,1.4,23.7,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:37:00,1.4,18.0,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:38:00,1.3,15.3,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:39:00,0.7,48.0,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:40:00,1.7,347.1,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:41:00,1.6,29.6,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:42:00,1.7,22.2,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:43:00,1.5,49.6,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:44:00,1.7,53.3,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:45:00,2.2,34.5,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:46:00,2.2,48.2,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:47:00,2.4,42.2,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:48:00,2.3,39.3,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:49:00,2.4,32.4,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:50:00,2.5,63.6,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:51:00,2.3,48.7,24.7,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:52:00,2.6,44.9,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:53:00,2.5,47.1,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:54:00,2.5,54.0,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:55:00,2.0,27.3,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:56:00,2.3,38.1,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:57:00,2.2,49.9,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:58:00,2.1,77.5,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:59:00,3.1,37.0,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:00:00,2.6,74.4,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:01:00,2.5,79.1,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:02:00,2.3,49.0,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:03:00,3.0,63.1,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:04:00,3.0,61.0,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:05:00,2.5,74.1,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:06:00,2.7,53.9,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:07:00,2.8,52.9,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:08:00,2.7,71.8,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:09:00,2.4,53.0,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:10:00,2.5,82.3,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:11:00,2.7,68.1,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:12:00,2.9,78.7,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:13:00,2.2,53.2,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:14:00,2.3,57.5,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:15:00,3.1,57.6,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:16:00,2.1,89.4,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:17:00,2.1,47.8,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:18:00,2.4,58.8,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:19:00,2.1,41.9,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:20:00,1.9,35.2,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:21:00,1.6,76.6,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:22:00,1.4,22.5,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:23:00,1.5,11.8,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:24:00,1.8,38.1,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:25:00,2.2,17.0,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:26:00,1.9,25.1,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:27:00,2.2,60.1,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:28:00,2.5,47.3,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:29:00,2.3,59.5,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:30:00,2.3,54.7,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:31:00,2.9,50.2,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:32:00,2.7,33.1,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:33:00,2.3,52.1,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:34:00,2.1,38.9,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:35:00,2.0,32.0,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:36:00,2.0,34.0,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:37:00,2.5,53.7,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:38:00,2.0,66.4,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:39:00,1.8,21.6,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:40:00,1.9,56.7,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:41:00,2.6,11.3,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:42:00,2.9,43.0,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:43:00,3.2,55.7,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:44:00,3.2,48.8,24.6,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:45:00,2.8,64.8,24.5,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:46:00,2.9,69.0,24.5,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:47:00,2.1,54.9,24.5,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:48:00,3.4,70.9,24.5,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:49:00,3.1,68.6,24.5,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:50:00,3.5,81.0,24.5,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:51:00,3.6,63.5,24.5,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:52:00,3.5,68.7,24.5,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:53:00,3.3,71.2,24.5,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:54:00,2.6,72.5,24.5,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:55:00,3.0,37.2,24.5,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:56:00,2.8,57.8,24.5,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:57:00,3.7,33.1,24.5,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:58:00,3.6,53.7,24.5,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 01:59:00,3.6,73.7,24.4,0,0.0,2020-09-16 01:35:02,2020-09-17 01:37:08
2020-09-16 00:00:00,2.5,46.8,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:01:00,3.4,70.0,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:02:00,3.0,47.2,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:03:00,3.1,78.2,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:04:00,2.3,49.1,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:05:00,2.5,48.0,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:06:00,2.9,25.8,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:07:00,2.8,62.2,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:08:00,2.6,45.4,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:09:00,2.6,42.9,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:10:00,2.2,28.8,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:11:00,2.2,29.7,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:12:00,2.3,23.2,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:13:00,1.9,67.3,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:14:00,2.1,45.4,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:15:00,2.0,49.7,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:16:00,2.4,39.0,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:17:00,2.3,31.5,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:18:00,2.8,7.0,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:19:00,1.7,20.4,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:20:00,1.8,32.3,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:21:00,2.1,25.6,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:22:00,1.1,341.8,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:23:00,1.7,12.6,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:24:00,2.0,342.9,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:25:00,2.0,13.4,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:26:00,1.2,350.2,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:27:00,1.6,338.4,24.9,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:28:00,1.9,343.2,24.8,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:29:00,1.7,351.7,24.8,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:30:00,1.7,343.8,24.8,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:31:00,2.3,340.9,24.8,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:32:00,1.9,1.3,24.8,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:33:00,2.2,16.8,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:34:00,2.3,34.4,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:35:00,1.7,26.4,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:36:00,1.4,23.7,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:37:00,1.4,18.0,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:38:00,1.3,15.3,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:39:00,0.7,48.0,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:40:00,1.7,347.1,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:41:00,1.6,29.6,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:42:00,1.7,22.2,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:43:00,1.5,49.6,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:44:00,1.7,53.3,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:45:00,2.2,34.5,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:46:00,2.2,48.2,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:47:00,2.4,42.2,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:48:00,2.3,39.3,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:49:00,2.4,32.4,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:50:00,2.5,63.6,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:51:00,2.3,48.7,24.7,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:52:00,2.6,44.9,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:53:00,2.5,47.1,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:54:00,2.5,54.0,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:55:00,2.0,27.3,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:56:00,2.3,38.1,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:57:00,2.2,49.9,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:58:00,2.1,77.5,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 00:59:00,3.1,37.0,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:00:00,2.6,74.4,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:01:00,2.5,79.1,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:02:00,2.3,49.0,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:03:00,3.0,63.1,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:04:00,3.0,61.0,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:05:00,2.5,74.1,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:06:00,2.7,53.9,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:07:00,2.8,52.9,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:08:00,2.7,71.8,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:09:00,2.4,53.0,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:10:00,2.5,82.3,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:11:00,2.7,68.1,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:12:00,2.9,78.7,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:13:00,2.2,53.2,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:14:00,2.3,57.5,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:15:00,3.1,57.6,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:16:00,2.1,89.4,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:17:00,2.1,47.8,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:18:00,2.4,58.8,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:19:00,2.1,41.9,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:20:00,1.9,35.2,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:21:00,1.6,76.6,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:22:00,1.4,22.5,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:23:00,1.5,11.8,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:24:00,1.8,38.1,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:25:00,2.2,17.0,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:26:00,1.9,25.1,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:27:00,2.2,60.1,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:28:00,2.5,47.3,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:29:00,2.3,59.5,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:30:00,2.3,54.7,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:31:00,2.9,50.2,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:32:00,2.7,33.1,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:33:00,2.3,52.1,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:34:00,2.1,38.9,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:35:00,2.0,32.0,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:36:00,2.0,34.0,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:37:00,2.5,53.7,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:38:00,2.0,66.4,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:39:00,1.8,21.6,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:40:00,1.9,56.7,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:41:00,2.6,11.3,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:42:00,2.9,43.0,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:43:00,3.2,55.7,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:44:00,3.2,48.8,24.6,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:45:00,2.8,64.8,24.5,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:46:00,2.9,69.0,24.5,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:47:00,2.1,54.9,24.5,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:48:00,3.4,70.9,24.5,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:49:00,3.1,68.6,24.5,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:50:00,3.5,81.0,24.5,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:51:00,3.6,63.5,24.5,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:52:00,3.5,68.7,24.5,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:53:00,3.3,71.2,24.5,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:54:00,2.6,72.5,24.5,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:55:00,3.0,37.2,24.5,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:56:00,2.8,57.8,24.5,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:57:00,3.7,33.1,24.5,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:58:00,3.6,53.7,24.5,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:59:00,3.6,73.7,24.4,0,0.0,2020-09-16 01:50:04,2020-09-17 01:52:04
2020-09-16 01:00:00,2.6,74.4,24.6,0,0.0,2020-09-16 02:05:00,2020-09-17 02:07:02
2020-09-16 01:01:00,2.5,79.1,24.6,0,0.0,2020-09-16 02:05:00,2020-09-17 02:07:02
2020-09-16 01:02:00,2.3,49.0,24.6,0,0.0,2020-09-16 02:05:00,2020-09-17 02:07:02
2020-09-16 01:03:00,3.0,63.1,24.6,0,0.0,2020-09-16 02:05:00,2020-09-17 02:07:02
2020-09-16 01:04:00,3.0,61.0,24.6,0,0.0,2020-09-16 02:05:00,2020-09-17 02:07:02
2020-09-16 01:05:00,2.5,74.1,24.6,0,0.0,2020-09-16 02:05:00,2020-09-17 02:07:02
2020-09-16 01:06:00,2.7,53.9,24.6,0,0.0,2020-09-16 02:05:00,2020-09-17 02:07:02
2020-09-16 01:07:00,2.8,52.9,24.6,0,0.0,2020-09-16 02:05:00,2020-09-17 02:07:02
